Monitoring Location ID	Activity ID	Activity Type	Activity Start Date	Activity Start Time	Project ID 1	Project ID 2	Sample Collection Method ID	Sample Collection Equipment Name	Sample Collection Equipment Comment	Characteristic Name	Method Speciation	Result Detection Condition	Result Value	Result Unit	Result Sample Fraction	Result Analytical Method ID	Result Analytical Method Context	Result Detection Limit Type	Result Detection Limit Value	Result Detection Limit Unit
RHL	RHL230323:FM:PS:DO:	Field Msr/Obs	03/23/2023	08:20	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.42	mg/l		8157	HACH			
RHL	RHL230323:FM:PS:DO:	Field Msr/Obs	03/23/2023	08:20	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			92.9	%		8157	HACH			
RHL	RHL230323:FM:WB:	Field Msr/Obs	03/23/2023	08:20	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			3.49	NTU		180.1	USEPA			
RHL	RHL230323:FM:PS:PH:	Field Msr/Obs	03/23/2023	08:20	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.12	None		8156	HACH			
RHL	RHL230323:FM:PS:TS:	Field Msr/Obs	03/23/2023	08:20	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Salinity			35.4	ppt		8160	HACH			
RHL	RHL230323:SR:WB:	Sample-Routine	03/23/2023	08:20	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Nitrogen, mixed forms	as N		89.61	ug/l	Filtered, field	4500-N	APHA			
RHL	RHL230323:SR:WB:	Sample-Routine	03/23/2023	08:20	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Phosphorus, mixed forms	as P		11.44	ug/l	Filtered, field	4500-P	APHA			
RHL	RHL230323:SR:WB:	Sample-Routine	03/23/2023	08:20	HUI_PCHEM	EPABEACH	1002	Water Bottle		Orthophosphate	as P		5.80	ug/l	Filtered, field	365.5	USEPA			
RHL	RHL230323:SR:WB:	Sample-Routine	03/23/2023	08:20	HUI_PCHEM	EPABEACH	1002	Water Bottle		Silicate			431.06	ug/l	Filtered, field	366.0	USEPA			
RHL	RHL230323:SR:WB:	Sample-Routine	03/23/2023	08:20	HUI_PCHEM	EPABEACH	1002	Water Bottle		Nitrate + Nitrite	as N		1.98	ug/l	Filtered, field	353.4	USEPA			
