Monitoring Location ID	Activity ID	Activity Type	Activity Start Date	Activity Start Time	Sample Collection Method ID	Sample Collection Equipment Name	Sample Collection Equipment Comment	Characteristic Name	Method Speciation	Result Detection Condition	Result Value	Result Unit	Result Sample Fraction	Result Analytical Method ID	Result Analytical Method Context	Result Detection Limit Type	Result Detection Limit Value	Result Detection Limit Unit
MAS	MAS200923:FM:PS:DO:	Field Msr/Obs	09/23/2020	09:23	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.59	mg/l		8157	HACH			
MAS	MAS200923:FM:PS:DO:	Field Msr/Obs	09/23/2020	09:23	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			101.4	%		8157	HACH			
MAS	MAS200923:FM:WB:	Field Msr/Obs	09/23/2020	09:23	1002	Water Bottle	HACH 2100Q	Turbidity			1.34	NTU		180.1	USEPA			
MAS	MAS200923:FM:PS:PH:	Field Msr/Obs	09/23/2020	09:23	1002	Probe/Sensor	HACH PHC101	pH			8.08	None		8156	HACH			
MAS	MAS200923:FM:PS:TS:	Field Msr/Obs	09/23/2020	09:23	1002	Probe/Sensor	HACH CDC401	Salinity			35.1	ppt		8160	HACH			
MAS	MAS200923:SR:WB:	Sample-Routine	09/23/2020	09:23	1002	Water Bottle		Total Nitrogen, mixed forms	as N		106.05	ug/l	Filtered, field	4500-N	APHA			
MAS	MAS200923:SR:WB:	Sample-Routine	09/23/2020	09:23	1002	Water Bottle		Total Phosphorus, mixed forms	as P		9.37	ug/l	Filtered, field	4500-P	APHA			
MAS	MAS200923:SR:WB:	Sample-Routine	09/23/2020	09:23	1002	Water Bottle		Orthophosphate	as P		6.45	ug/l	Filtered, field	365.5	USEPA			
MAS	MAS200923:SR:WB:	Sample-Routine	09/23/2020	09:23	1002	Water Bottle		Silicate			94.75	ug/l	Filtered, field	366	USEPA			
MAS	MAS200923:SR:WB:	Sample-Routine	09/23/2020	09:23	1002	Water Bottle		Nitrate + Nitrite	as N		12.86	ug/l	Filtered, field	353.4	USEPA			
MAS	MAS200923:SR:WB:	Sample-Routine	09/23/2020	09:23	1002	Water Bottle		Ammonium	as N		10.86	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
